Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #12,Run #12,Run #12
Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.19,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.19,2.059,13.963,43.633,0.0492,0.333,1.042,0.19,0,0,0,0.0108,0.104,1.87E-14,0.19,0.209,3.491,43.633,0.005,0.083,1.042,0.19,0,0,0,0,0,0,0.19,0.314,3.491,43.633,0.0075,0.083,1.042,0.19,0.087,0.873,43.633,0.0021,0.021,1.042,0.19,0,0,0,0,0,0,0.19,0.052,1.745,-1.67E-14,0.0012,0.042,6.94E-16,0.19,0.803,5.236,-3.11E-13,0.0192,0.125,0,0.19,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,2.199,14.835,87.266,0.0525,0.354,2.083,0.2,0,0,0,0.0121,0.125,1.042,0.2,0.244,3.491,2.44E-13,0.0058,0.083,8.33E-15,0.2,0,0,0,0,0,0,0.2,0.349,3.491,43.633,0.0083,0.083,1.042,0.2,0.105,1.745,43.633,0.0025,0.042,1.042,0.2,0,0,0,0,0,0,0.2,0.07,0.873,-43.633,0.0017,0.021,-1.042,0.2,0.855,5.236,4.44E-14,0.0204,0.125,0,0.2,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0.21,2.356,15.708,43.633,0.0562,0.375,1.042,0.21,0,0,0,0.0133,0.125,1.042,0.21,0.279,3.491,-2.44E-13,0.0067,0.083,-6.25E-15,0.21,0,0,0,0,0,0,0.21,0.384,4.363,43.633,0.0092,0.104,1.042,0.21,0.122,1.745,-1.22E-13,0.0029,0.042,-1.74E-15,0.21,0,0,0,0,0,0,0.21,0.07,0.873,43.633,0.0017,0.021,1.042,0.21,0.908,5.236,-4.44E-14,0.0217,0.125,0,0.21,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0.22,2.513,15.708,-1.16E-12,0.06,0.375,-1.67E-14,0.22,0,0,0,0.0146,0.125,-4.16E-15,0.22,0.314,3.491,43.633,0.0075,0.083,1.042,0.22,0,0,0,0,0,0,0.22,0.436,4.363,0,0.0104,0.104,0,0.22,0.14,1.745,0,0.0033,0.042,0,0.22,0,0,0,0,0,0,0.22,0.087,1.745,43.633,0.0021,0.042,1.042,0.22,0.96,5.236,43.633,0.0229,0.125,1.042,0.22,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0.23,2.67,15.708,43.633,0.0637,0.375,1.042,0.23,0,0,0,0.0158,0.146,1.042,0.23,0.349,4.363,43.633,0.0083,0.104,1.042,0.23,0,0,0,0,0,0,0.23,0.471,4.363,2.67E-13,0.0112,0.104,7.63E-15,0.23,0.157,1.745,8.88E-14,0.0037,0.042,3.12E-15,0.23,0,0,0,0,0,0,0.23,0.105,1.745,8.88E-14,0.0025,0.042,4.16E-15,0.23,1.012,6.109,43.633,0.0242,0.146,1.042,0.23,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0.24,2.827,16.581,87.266,0.0675,0.396,2.083,0.24,0,0,0,0.0175,0.167,2.083,0.24,0.401,4.363,-2.67E-13,0.0096,0.104,-7.63E-15,0.24,0,0,0,0,0,0,0.24,0.524,4.363,-2.67E-13,0.0125,0.104,-7.63E-15,0.24,0.175,1.745,-5.55E-14,0.0042,0.042,-5.20E-15,0.24,0,0,0,0,0,0,0.24,0.122,1.745,-1.22E-13,0.0029,0.042,-1.74E-15,0.24,1.082,6.109,-9.77E-13,0.0258,0.146,-1.94E-14,0.24,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,3.002,17.453,43.633,0.0717,0.417,1.042,0.25,0,0,0,0.0192,0.146,5.55E-15,0.25,0.436,4.363,87.266,0.0104,0.104,2.083,0.25,0,0,0,0,0,0,0.25,0.559,4.363,87.266,0.0133,0.104,2.083,0.25,0.192,1.745,43.633,0.0046,0.042,1.042,0.25,0,0,0,0,0,0,0.25,0.14,1.745,43.633,0.0033,0.042,1.042,0.25,1.134,6.109,43.633,0.0271,0.146,1.042,0.25,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0.26,3.176,17.453,43.633,0.0758,0.417,1.042,0.26,0,0,0,0.0204,0.146,-1.042,0.26,0.489,6.109,87.266,0.0117,0.146,2.083,0.26,0,0,0,0,0,0,0.26,0.611,6.109,87.266,0.0146,0.146,2.083,0.26,0.209,2.618,43.633,0.005,0.062,1.042,0.26,0,0,0,0,0,0,0.26,0.157,2.618,43.633,0.0037,0.062,1.042,0.26,1.204,6.981,43.633,0.0287,0.167,1.042,0.26,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0.27,3.351,18.326,43.633,0.08,0.437,1.042,0.27,0,0,0,0.0221,0.187,2.083,0.27,0.559,6.109,-43.633,0.0133,0.146,-1.042,0.27,0,0,0,0,0,0,0.27,0.681,6.109,-43.633,0.0163,0.146,-1.042,0.27,0.244,2.618,-43.633,0.0058,0.062,-1.042,0.27,0,0,0,0,0,0,0.27,0.192,2.618,-43.633,0.0046,0.062,-1.042,0.27,1.274,6.981,4.00E-13,0.0304,0.167,1.53E-14,0.27,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,3.543,18.326,2.49E-12,0.0846,0.438,2.50E-14,0.28,0,0,43.633,0.0242,0.188,2.083,0.28,0.611,5.236,9.77E-13,0.0146,0.125,2.08E-14,0.28,0,0,0,0,0,0,0.28,0.733,5.236,8.44E-13,0.0175,0.125,2.50E-14,0.28,0.262,1.745,5.11E-13,0.0062,0.042,8.33E-15,0.28,0,0,43.633,0,0,1.042,0.28,0.209,1.745,3.11E-13,0.005,0.042,1.04E-14,0.28,1.344,6.981,4.00E-13,0.0321,0.167,2.36E-14,0.28,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.29,3.718,18.326,43.633,0.0887,0.438,1.042,0.29,0,0.873,43.633,0.0258,0.188,5.14E-14,0.29,0.663,6.109,87.266,0.0158,0.146,2.083,0.29,0,0,0,0,0,0,0.29,0.785,6.109,87.266,0.0188,0.146,2.083,0.29,0.279,2.618,43.633,0.0067,0.063,1.042,0.29,0,0.873,43.633,0,0.021,1.042,0.29,0.227,2.618,43.633,0.0054,0.063,1.042,0.29,1.414,6.981,-4.00E-13,0.0337,0.167,-1.53E-14,0.29,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,3.91,19.199,87.266,0.0933,0.458,2.083,0.3,0.017,0.873,-1.22E-13,0.0279,0.208,1.042,0.3,0.733,6.981,87.266,0.0175,0.167,2.083,0.3,0,0,43.633,0,0,1.042,0.3,0.855,6.981,43.633,0.0204,0.167,1.042,0.3,0.314,2.618,-5.11E-13,0.0075,0.062,-1.04E-14,0.3,0.017,0.873,-43.633,4.17E-04,0.021,-1.042,0.3,0.262,2.618,-2.22E-13,0.0062,0.062,-8.33E-15,0.3,1.484,6.981,-4.00E-13,0.0354,0.167,-2.36E-14,0.3,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.31,4.102,20.071,87.266,0.0979,0.479,2.083,0.31,0.017,0.873,0,0.03,0.208,1.042,0.31,0.803,7.854,43.633,0.0192,0.187,1.042,0.31,0,0.873,43.633,0,0.021,1.042,0.31,0.925,6.981,-5.33E-13,0.0221,0.167,-8.33E-15,0.31,0.332,2.618,1.55E-13,0.0079,0.062,4.16E-15,0.31,0.017,0,-43.633,4.17E-04,0,-1.042,0.31,0.279,2.618,43.633,0.0067,0.062,1.042,0.31,1.553,6.981,43.633,0.0371,0.167,1.042,0.31,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,4.311,20.944,43.633,0.1029,0.5,1.042,0.32,0.035,0.873,1.11E-14,0.0321,0.208,0,0.32,0.89,7.854,-3.11E-13,0.0212,0.187,0,0.32,0.017,0.873,-43.633,4.17E-04,0.021,-1.042,0.32,0.995,6.981,0,0.0237,0.167,8.33E-15,0.32,0.367,2.618,1.55E-13,0.0087,0.062,0,0.32,0.017,0,43.633,4.17E-04,0,1.042,0.32,0.314,3.491,43.633,0.0075,0.083,1.042,0.32,1.623,7.854,43.633,0.0387,0.187,1.042,0.32,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33,4.52,20.944,0,0.1079,0.5,0,0.33,0.035,0.873,43.633,0.0342,0.229,1.042,0.33,0.96,7.854,43.633,0.0229,0.187,1.042,0.33,0.017,0,-43.633,4.17E-04,0,-1.042,0.33,1.065,6.981,43.633,0.0254,0.167,1.042,0.33,0.384,2.618,-1.55E-13,0.0092,0.062,-4.16E-15,0.33,0.017,0.873,43.633,4.17E-04,0.021,1.042,0.33,0.349,3.491,1.33E-13,0.0083,0.083,-4.16E-15,0.33,1.71,7.854,0,0.0408,0.187,-1.67E-14,0.33,0,0,0,0,0,0
0.34,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0.34,4.73,20.944,7.11E-13,0.1129,0.5,3.33E-14,0.34,0.052,1.745,43.633,0.0367,0.229,1.042,0.34,1.047,8.727,43.633,0.025,0.208,1.042,0.34,0.017,0,43.633,4.17E-04,0,1.042,0.34,1.134,7.854,43.633,0.0271,0.187,1.042,0.34,0.419,2.618,2.22E-13,0.01,0.062,1.32E-14,0.34,0.035,0.873,-43.633,8.33E-04,0.021,-1.042,0.34,0.384,3.491,4.89E-13,0.0092,0.083,7.63E-15,0.34,1.78,7.854,1.07E-12,0.0425,0.187,4.30E-14,0.34,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0.35,4.939,20.944,43.633,0.1179,0.5,1.042,0.35,0.07,1.745,2.67E-13,0.0387,0.229,-1.67E-14,0.35,1.134,8.727,43.633,0.0271,0.208,1.042,0.35,0.017,0.873,43.633,4.17E-04,0.021,1.042,0.35,1.222,7.854,1.07E-12,0.0292,0.188,2.64E-14,0.35,0.436,2.618,43.633,0.0104,0.063,1.042,0.35,0.035,0,-43.633,8.33E-04,0,-1.042,0.35,0.419,3.491,43.633,0.01,0.083,1.042,0.35,1.868,7.854,1.07E-12,0.0446,0.188,4.30E-14,0.35,0,0,0,0,0,0
